plz,adresse,bezirk,anschluss_1,anschluss_2,anschluss_3,anschluss_4,ladeleistung_1,ladeleistung_2,ladeleistung_3,ladeleistung_4,anzahl_ladepunkte,lng,lat
"10553",Ufnaustr. 10,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3168799999992,52.5306649999969
"13189",Hallandstr. 59,Pankow,AC Steckdose Typ 2,,,,3,,,,1,13.4218159999995,52.5574699999971
"13409",Reginhardstr. 66,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3738259999993,52.5626779999969
"13353",Seestr. 18,Mitte,AC Steckdose Typ 2,,,,3,,,,1,13.3451529999994,52.5466019999969
"13403",Blankestr. 19,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3297219999993,52.5637339999969
"13403",General-Barby-Straße ggü. 62,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3181566394271,52.5715962309296
"13403",General-Barby-Straße 53,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3180427956612,52.5712934119373
"13403",General-Barby-Straße ggü. 54,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3179603701483,52.5710854456977
"13405",Uranusweg Bei Hausnr. 23,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3163699999993,52.5651599999968
"13405",Uranusweg 25,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3161799999992,52.5649599999969
"13405",Uranusweg 29,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3160099999993,52.5647699999969
"0",Alex-Wedding-Strasse 3,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4153290268661,52.5253973549555
"0",Auguststr. ggü 50a,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4003055038047,52.5276057874322
"0",Ackerstr. ggü. 76,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3840889999994,52.538410999997
"0",Werftstr. ggü. 21,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3594071953012,52.5228765647233
"0",Spenerstr. ggü. 26,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3528894186013,52.5214044835311
"10117",Ackerstraße 117-118,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3855697999993,52.5377143999971
"10117",Ackerstraße 117-118,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3855697999993,52.5377143999971
"10557",Seydlitzstraße 17a,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3591915999994,52.5263534999969
"10557",Lüneburger Straße 13,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3582843999994,52.5208605999969
"10559",Kruppstraße 2,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3581521999993,52.533034799997
"10559",Kruppstraße 2,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3581521999993,52.533034799997
"10557",Seydlitzstraße 15a-b,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3573659999993,52.5257866999969
"10557",Havelberger Straße 28,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3470462999993,52.5316099999969
"10559",Lübecker Straße 3-4,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3454803999994,52.5271335999969
"10559",Lübecker Straße 3-4,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3454610999993,52.5272592999968
"10559",Stephanstr. 30,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3452302999993,52.5328343999969
"10559",Stephanstr. 30,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3452302999993,52.5328343999969
"10555",Krefelder Straße 13,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3398706999993,52.5233179999969
"10555",Essener Straße 20,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3374367999993,52.5235539999968
"10555",Essener Straße 20,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3374367999993,52.5235539999968
"10555",Zwinglistr. 1,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3346461999993,52.5255038999969
"10555",Zwinglistr. 1,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3346461999993,52.5255038999969
"10439",Scherenbergstraße 4,Pankow,AC Steckdose Typ 2,,,,11,,,,1,13.419882502154,52.5504611775366
"10439",Scherenbergstraße 4,Pankow,AC Steckdose Typ 2,,,,11,,,,1,13.419882502154,52.5504611775366
"10439",Scherenbergstraße 4,Pankow,AC Steckdose Typ 2,,,,11,,,,1,13.419882502154,52.5504611775366
"10439",Scherenbergstraße 4,Pankow,AC Steckdose Typ 2,,,,11,,,,1,13.419882502154,52.5504611775366
"10119",Alte Schönhauser Str. ggü. 5,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.4087237944789,52.527711175118
"10119",Alte Schönhauser Str. ggü. 5,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.4087237944789,52.527711175118
"13357",Jülicher Straße 15,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3914720981635,52.5507966217327
"13357",Jülicher Straße 15,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3914720981635,52.5507966217327
"13357",Böttgerstraße 23,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3825159999994,52.548694999997
"13357",Böttgerstraße 23,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3824729999994,52.5486949999971
"10115",Pflugstraße 9,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3797094737612,52.5367013791608
"10115",Pflugstraße 9,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3797094737612,52.5367013791608
"13359",Holzstraße 6,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3792424661981,52.5617402339576
"13359",Holzstraße 6,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3792424661981,52.5617402339576
"13347",Gerichtstraße 65,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3725503285135,52.5440050757531
"13347",Gerichtstraße 65,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3725503285135,52.5440050757531
"13357",Kösliner Straße 4,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3708621011507,52.547295188505
"13357",Kösliner Straße 4,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3708621011507,52.547295188505
"13347",Maxstraße ggü. 12,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3635649999994,52.5499949999969
"13347",Maxstraße ggü. 12,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3634769999994,52.5500559999969
"13347",Nazarethkirchstraße 50,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3592119999993,52.5477679999969
"13347",Nazarethkirchstraße 50,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3592039999994,52.547767999997
"13353",Genterstraße 68,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.351462931913,52.5490036812269
"10551",Waldstraße 31,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3316201400794,52.532437599539
"10551",Waldstraße 31,Mitte,AC Steckdose Typ 2,,,,11,,,,1,13.3316201400794,52.532437599539
"10249",Höchste Straße 17,Friedrichshain-Kreuzberg,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4263279999995,52.526234999997
"10249",Höchste Straße 17,Friedrichshain-Kreuzberg,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4263279999995,52.526234999997
"10405",Heinrich-Roller-Straße 13,Pankow,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4248299999995,52.530059999997
"10405",Heinrich-Roller-Straße 13,Pankow,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4248299999995,52.530059999997
"10178",Mollstr. 4,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4205389999995,52.524439999997
"10435",Griebenowstraße 5,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4048779999994,52.535928999997
"10178",Dircksenstraße 50,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4041799999995,52.523329999997
"10119",Fehrbelliner Straße 25,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4031909999995,52.533836999997
"10119",Veteranenstraße 26,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.4001179999994,52.532949999997
"10115",Torstr. 165,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3958409999995,52.529124999997
"10115",Anklamer Str. 8,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3957199999995,52.5343029999971
"10115",Gartenstr. 13,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3913499999994,52.5304829999971
"10117",Reinhardtstraße 32,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3809509999994,52.5228319999969
"10117",Schumannstr. 6,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3805809999995,52.5237189999969
"10117",Platz vor dem Neuen Tor,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3788459999994,52.5286769999969
"10115",Boyenstr. 23,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3688899999994,52.535976999997
"10577",Alt-Moabit 5,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3625769999993,52.5231919999969
"0",General-Woyna-Straße  50,Reinickendorf,AC Steckdose Typ 2,,,,3,,,,1,13.3158602988993,52.5706901141969
"10439",Bornholmer Str. 65,Pankow,"AC Steckdose Typ 2, AC Kupplung Typ 2","AC Kupplung Typ 2, DC CHAdeMO","AC Kupplung Typ 2, DC Kupplung Combo",,22,43,43,,3,13.4012899391554,52.5541915898305
"10559",Havelberger Str. 28,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.346969604442,52.5315589899037
"12526",Stromstraße 40,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.342670440867,52.5306510921637
"12489",Stromstraße 40,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.342670440867,52.5306510921637
