pop,lng,lat
0,13.33188629,52.53970397
0,13.33923548,52.53994087
0,13.35140487,52.53912515
0,13.35007718,52.5384945
0,13.3595951,52.53824374
0,13.35894685,52.53788403
0,13.36172323,52.5368674
0,13.32773561,52.53616662
0,13.32735723,52.53607657
52,13.33982163,52.53425195
0,13.32009193,52.53470278
0,13.33610832,52.53727251
13,13.34944962,52.53556427
0,13.35685727,52.53630548
0,13.32018726,52.53068875
0,13.32258698,52.52989625
213,13.31711103,52.52548367
0,13.31708432,52.52501172
0,13.3186677,52.52522372
0,13.31744457,52.52379751
0,13.31740507,52.52201969
0,13.31794816,52.52381004
52,13.36674765,52.53115381
6,13.32937537,52.54043513
0,13.3392255,52.53963567
0,13.34881385,52.53870346
0,13.35485939,52.53913047
0,13.359289,52.53808618
0,13.36301795,52.53704412
0,13.32196154,52.52336959
0,13.31616217,52.52333801
0,13.31451035,52.52804237
0,13.31708221,52.53577663
0,13.33117396,52.53674128
0,13.33534427,52.53743504
0,13.33114888,52.53884495
0,13.36514096,52.53621312
0,13.33633288,52.53512217
3,13.33503746,52.53448483
0,13.34259855,52.53618346
0,13.32955193,52.53446829
0,13.32137374,52.53309179
0,13.34865722,52.53612559
0,13.35126851,52.5368363
0,13.3446699,52.5364099
0,13.3613205,52.53633304
0,13.36332913,52.53333211
0,13.3619834,52.53311956
0,13.36817445,52.52898691
1621,13.36351194,52.53077358
0,13.36910596,52.5274731
6,13.33533471,52.53380471
