usage,usage_plain,lng,lat
10,Housing area,13.4485526532669,52.4321542322583
130,Park / green space,13.4483469712245,52.4315737641288
160,Allotment garden,13.4505504551279,52.4569313026134
10,Housing area,13.4478403851035,52.4304332523142
21,Mixed area,13.448922930161,52.4600777198082
40,Commercial and industrial area,13.4528558891094,52.4601021268609
10,Housing area,13.4467905074413,52.4562742937712
10,Housing area,13.4534838205789,52.4535087419961
40,Commercial and industrial area,13.4547639942292,52.4524324750163
10,Housing area,13.453311322069,52.451507795507
190,Sport use,13.4547148924742,52.449451519607
10,Housing area,13.4565832334848,52.4463848155543
50,Public / special use,13.4608221663197,52.4468189748976
160,Allotment garden,13.4572181777417,52.4486514029766
200,Tree nursery / horticulture,13.4498505014113,52.4425205928334
10,Housing area,13.4522287693217,52.4418029471851
50,Public / special use,13.4482564075933,52.4406831588528
10,Housing area,13.4498443574119,52.4380223282582
130,Park / green space,13.4477375548892,52.4397508294016
190,Sport use,13.4744395052943,52.4398959902002
40,Commercial and industrial area,13.4473761054109,52.4364113280563
10,Housing area,13.4500452239781,52.4362946711762
130,Park / green space,13.4497731777907,52.4350227932197
10,Housing area,13.4453543086213,52.4276014830927
110,Body of water,13.470555303971,52.4464543026063
110,Body of water,13.4561319290829,52.4578802131466
10,Housing area,13.4453986732027,52.424068511842
10,Housing area,13.4037073706212,52.4131454226236
10,Housing area,13.4089794694149,52.4145449366875
10,Housing area,13.4077587967059,52.4136525847938
10,Housing area,13.4142855782191,52.4137378186157
10,Housing area,13.4131221316329,52.4130901608187
10,Housing area,13.4169247384646,52.4117595356525
